battery_id,n0,model,life,fit_success,b_at_lower_bound,c_near_bound,finite_scenarios,structural_life_min,structural_life_median,structural_life_max,structural_relative_span_percent
2,11,linear,9420.138172890916,True,False,False,15,1641.6031922574666,2376.0953977190597,9420.138172890916,327.36627443916933
2,11,power,2136.927939428003,True,False,False,15,1641.6031922574666,2376.0953977190597,9420.138172890916,327.36627443916933
2,11,centered_quadratic,1641.6031922574666,True,False,False,15,1641.6031922574666,2376.0953977190597,9420.138172890916,327.36627443916933
2,21,linear,9035.993870829856,True,False,False,15,1641.6031922574666,2376.0953977190597,9420.138172890916,327.36627443916933
2,21,power,2301.3760872905627,True,False,False,15,1641.6031922574666,2376.0953977190597,9420.138172890916,327.36627443916933
2,21,centered_quadratic,1713.8917283835124,True,False,False,15,1641.6031922574666,2376.0953977190597,9420.138172890916,327.36627443916933
2,31,linear,8750.103254269867,True,False,False,15,1641.6031922574666,2376.0953977190597,9420.138172890916,327.36627443916933
2,31,power,2376.0953977190597,True,False,False,15,1641.6031922574666,2376.0953977190597,9420.138172890916,327.36627443916933
2,31,centered_quadratic,1756.8156036063774,True,False,False,15,1641.6031922574666,2376.0953977190597,9420.138172890916,327.36627443916933
2,41,linear,8461.370784115654,True,False,False,15,1641.6031922574666,2376.0953977190597,9420.138172890916,327.36627443916933
2,41,power,2593.480506607397,True,False,False,15,1641.6031922574666,2376.0953977190597,9420.138172890916,327.36627443916933
2,41,centered_quadratic,1847.753775690222,True,False,False,15,1641.6031922574666,2376.0953977190597,9420.138172890916,327.36627443916933
2,51,linear,8275.750170123845,True,False,False,15,1641.6031922574666,2376.0953977190597,9420.138172890916,327.36627443916933
2,51,power,2568.1947613885613,True,False,False,15,1641.6031922574666,2376.0953977190597,9420.138172890916,327.36627443916933
2,51,centered_quadratic,1858.4497391536102,True,False,False,15,1641.6031922574666,2376.0953977190597,9420.138172890916,327.36627443916933
5,11,linear,6546.231759807677,True,False,False,15,1016.0068072811969,1141.6326608982756,6546.231759807677,484.4136946971288
5,11,power,1016.0068072811969,True,False,False,15,1016.0068072811969,1141.6326608982756,6546.231759807677,484.4136946971288
5,11,centered_quadratic,1117.8614334165993,True,True,False,15,1016.0068072811969,1141.6326608982756,6546.231759807677,484.4136946971288
5,21,linear,6123.269861154972,True,False,False,15,1016.0068072811969,1141.6326608982756,6546.231759807677,484.4136946971288
