channel,family,SOH_input,MAE,RMSE,battery_RMSE_median,battery_RMSE_q90
IR,PERSIST,oracle_SOH,5.160657675000012e-05,8.070391867010628e-05,5.0972278961517425e-05,9.528711467009328e-05
IR,PERSIST,Q3_SOH,5.160657675000012e-05,8.070391867010628e-05,5.0972278961517425e-05,9.528711467009328e-05
IR,ANCHOR_GLOBAL,oracle_SOH,5.143761292855062e-05,7.829628708603902e-05,4.985405744821074e-05,9.656555803025339e-05
IR,ANCHOR_GLOBAL,Q3_SOH,5.208699473224602e-05,7.878674278149179e-05,5.066806290201606e-05,9.66467504334988e-05
IR,ANCHOR_POLICY,oracle_SOH,5.703182522288143e-05,8.945664693493147e-05,5.115123825962975e-05,0.00014197110138797298
IR,ANCHOR_POLICY,Q3_SOH,5.469259630694823e-05,8.236500440274338e-05,5.3410880199437755e-05,0.0001372439570916202
IR,FULL_GLOBAL,oracle_SOH,0.0006266135311900922,0.0009306041219567897,0.0003327117060621782,0.0016539065582967282
IR,FULL_GLOBAL,Q3_SOH,0.0006256896847889498,0.000928783731099098,0.0003444662744049153,0.001642019592262544
IR,FULL_POLICY,oracle_SOH,0.0004180801086906404,0.0007420165109972357,0.0002515292893840057,0.0007055562982937406
IR,FULL_POLICY,Q3_SOH,0.0004182979197661281,0.0007431712312853759,0.00023535678148104913,0.0006876515825146725
Tavg,PERSIST,oracle_SOH,0.24627875834896462,0.31690371864206446,0.2706066817010356,0.4498156068046869
Tavg,PERSIST,Q3_SOH,0.24627875834896462,0.31690371864206446,0.2706066817010356,0.4498156068046869
Tavg,ANCHOR_GLOBAL,oracle_SOH,0.23489259040535806,0.30580086257319966,0.2377339838816557,0.4380456304598788
Tavg,ANCHOR_GLOBAL,Q3_SOH,0.22806731831520352,0.29832509031978044,0.2319246855532976,0.42567039477167656
Tavg,ANCHOR_POLICY,oracle_SOH,0.24793532316536504,0.32177774256583846,0.2674071530813775,0.42125621537027486
Tavg,ANCHOR_POLICY,Q3_SOH,0.2204467716650094,0.2880973315455102,0.2463077076933015,0.3470978526278273
Tavg,FULL_GLOBAL,oracle_SOH,1.6154455767810105,2.00311057648418,1.424711550907383,2.8099986445270324
Tavg,FULL_GLOBAL,Q3_SOH,1.611558592741922,1.996950951963107,1.4185545031658444,2.812084263277698
Tavg,FULL_POLICY,oracle_SOH,0.9951330446609473,1.2505457663119173,0.8192934960368912,1.6307431005927642
Tavg,FULL_POLICY,Q3_SOH,0.9807972545050819,1.2372465233307597,0.7832147914918324,1.6379053412785916
ChargeTime,PERSIST,oracle_SOH,0.08782441249998879,0.6186869120414576,0.0011548890777518376,0.059748367819036315
ChargeTime,PERSIST,Q3_SOH,0.08782441249998879,0.6186869120414576,0.0011548890777518376,0.059748367819036315
ChargeTime,ANCHOR_GLOBAL,oracle_SOH,0.08906406951691491,0.616524527927509,0.004797095038272629,0.05231763740745299
ChargeTime,ANCHOR_GLOBAL,Q3_SOH,0.08898012822589861,0.6170118110063756,0.004774379072894595,0.05049162219787087
ChargeTime,ANCHOR_POLICY,oracle_SOH,0.08858412538120664,0.6112500086038747,0.0012336509418307525,0.06297043149889257
ChargeTime,ANCHOR_POLICY,Q3_SOH,0.0882664098555053,0.613360424003757,0.0012214336030450777,0.05610625769932275
ChargeTime,FULL_GLOBAL,oracle_SOH,0.8023538531984278,1.189727234830523,0.4940335725305259,2.9177759297178327
ChargeTime,FULL_GLOBAL,Q3_SOH,0.802540947356947,1.1916428122941234,0.491284311730364,2.922348506528733
ChargeTime,FULL_POLICY,oracle_SOH,0.0898097675814396,0.6232936893684026,0.0018484318072754273,0.04589050043442983
ChargeTime,FULL_POLICY,Q3_SOH,0.08994021804047701,0.623706043234385,0.0018836614398701093,0.045054969105771246
