channel,family,formal_relation_retained,n_test_batteries,MAE,RMSE,bias,MAPE_percent,state_agreement_percent,spearman_rho,spearman_p
IR,PERSIST,False,9,0.00020583816314633272,0.0003325437424755358,-0.00020583816314633272,1.2611924948458113,98.73880750515418,1.0,0.0
Tavg,PERSIST,False,9,0.604953240550986,0.6876480573933212,-0.604953240550986,1.7507821449635168,98.24921785503648,0.9833333333333333,1.936196303745927e-06
ChargeTime,PERSIST,False,9,0.5349551561471699,1.070282579971182,-0.5235205120828176,4.346778542797046,95.65322145720296,0.5833333333333334,0.09918581647988327
