battery_id,cycle,observed,predicted,feature_set,length,baseline
1,151,1.0035040341011485,1.0028376059047575,M1,150,TS
1,152,1.003371233684344,1.0028038061257019,M1,150,TS
1,153,1.003249998700051,1.002765970830092,M1,150,TS
1,154,1.0031403291482688,1.002724100017928,M1,150,TS
1,155,1.0030422250289976,1.00267819368921,M1,150,TS
1,156,1.0029556863422409,1.00262825184394,M1,150,TS
1,157,1.0029072943153923,1.002580633741452,M1,150,TS
1,158,1.0029532296974646,1.0025193904727394,M1,150,TS
1,159,1.002855579373866,1.0024600747983439,M1,150,TS
1,160,1.002860543825376,1.0023928321269981,M1,150,TS
1,161,1.0025763543941397,1.002330837022596,M1,150,TS
1,162,1.0014383798854618,1.0022663665571474,M1,150,TS
1,163,1.0004746427551507,1.0022031499421595,M1,150,TS
1,164,0.999940860696534,1.0021470983426282,M1,150,TS
1,165,0.9996885162089997,1.0020948116701875,M1,150,TS
1,166,0.9999216817116944,1.0020461083706762,M1,150,TS
1,167,1.0005932631675036,1.0019950051447235,M1,150,TS
1,168,1.0013679303061351,1.001959698348081,M1,150,TS
1,169,1.0020708838385373,1.0019084779801928,M1,150,TS
1,170,1.0030309268578446,1.001853503609642,M1,150,TS
1,171,1.0023714359521643,1.0018028065676392,M1,150,TS
1,172,1.0006014508223022,1.0017518516012236,M1,150,TS
1,173,0.9996034070961728,1.0016982593528618,M1,150,TS
1,174,0.9986270177227583,1.0016494806054992,M1,150,TS
1,175,0.9980836122088909,1.001604961755401,M1,150,TS
1,176,0.9978717048258827,1.001547239675323,M1,150,TS
1,177,0.9980881334019138,1.0015021864820544,M1,150,TS
1,178,0.9987131474621992,1.001467976156136,M1,150,TS
1,179,0.9998235511188321,1.0014220493304855,M1,150,TS
1,180,1.0011065231854825,1.0013816465709762,M1,150,TS
1,181,1.0013771727680894,1.0013527754975053,M1,150,TS
1,182,1.0016764928582509,1.0013231840490262,M1,150,TS
1,183,1.0023240922011576,1.0012836027558298,M1,150,TS
1,184,1.0025496689705158,1.001235907667061,M1,150,TS
1,185,1.0027810566496334,1.0011828342009872,M1,150,TS
1,186,1.0024387748845074,1.001115882626664,M1,150,TS
1,187,1.0019669105501887,1.0010529661307126,M1,150,TS
1,188,1.001749130863073,1.0009901890989055,M1,150,TS
1,189,1.0018799043084554,1.000925094837198,M1,150,TS
1,190,1.001666978040517,1.0008699477732401,M1,150,TS
1,191,1.0018924152574733,1.0008171599256641,M1,150,TS
1,192,1.0013201509165075,1.0007577751629027,M1,150,TS
1,193,1.0003872481179652,1.0006862484007981,M1,150,TS
1,194,0.999941113240662,1.0006215999386365,M1,150,TS
1,195,0.9986368612832792,1.0005541960918503,M1,150,TS
1,196,0.9980639123735556,1.0004915739082358,M1,150,TS
1,197,0.9975588394878703,1.0004299810551602,M1,150,TS
1,198,0.9971216426262207,1.0003694175326208,M1,150,TS
1,199,0.9967523217886071,1.0003098833406174,M1,150,TS
1,200,0.9964508769750292,1.0002513784791505,M1,150,TS
3,151,0.9960343643247106,0.9960888481500662,M1,150,TS
3,152,0.9959927167171484,0.9960793893132378,M1,150,TS
3,153,0.9959585669412259,0.9960660006280837,M1,150,TS
3,154,0.9959319149969431,0.9960486820946035,M1,150,TS
3,155,0.9959127608842999,0.9960274337127973,M1,150,TS
3,156,0.9959011046032991,0.9960022554826681,M1,150,TS
3,157,0.99591418178317,0.9959796998652731,M1,150,TS
3,158,0.9959199948628807,0.9959462133008884,M1,150,TS
3,159,0.9959320859144289,0.9959107837938455,M1,150,TS
3,160,0.99593203064154,0.9958703637848157,M1,150,TS
3,161,0.9959224770012136,0.9958280482000337,M1,150,TS
3,162,0.9959002339481822,0.9957617666628292,M1,150,TS
3,163,0.9958625601185487,0.9957015795494678,M1,150,TS
3,164,0.9957994798270604,0.9956602035787782,M1,150,TS
3,165,0.995739273297319,0.9956297396911284,M1,150,TS
3,166,0.9956808517819564,0.9956152389251073,M1,150,TS
3,167,0.9956127277322449,0.9956097806164697,M1,150,TS
3,168,0.995576158074972,0.9956219466430241,M1,150,TS
3,169,0.9955744051959938,0.9956155042068251,M1,150,TS
3,170,0.995600712306006,0.9956111810137187,M1,150,TS
3,171,0.9956379893705616,0.9955694006261202,M1,150,TS
3,172,0.9956641347323912,0.995499219060226,M1,150,TS
3,173,0.9956711920948085,0.995446657670046,M1,150,TS
3,174,0.9956380585687907,0.9954004687893157,M1,150,TS
3,175,0.9955853708658173,0.9953700607627586,M1,150,TS
3,176,0.9955396173395594,0.9953348421196583,M1,150,TS
3,177,0.9955035324983614,0.9953229816951674,M1,150,TS
3,178,0.9955100283482142,0.9953312905635529,M1,150,TS
3,179,0.9955577798394379,0.9953392861666052,M1,150,TS
3,180,0.9956211379950224,0.9953568076261383,M1,150,TS
3,181,0.9956797077616993,0.9953600452602958,M1,150,TS
3,182,0.9956850893700995,0.9953646556871009,M1,150,TS
3,183,0.9956531206452309,0.9953691623164667,M1,150,TS
3,184,0.9955877786642572,0.99535561551972,M1,150,TS
3,185,0.9955121162923015,0.9953370841380196,M1,150,TS
3,186,0.9954418813752506,0.9952899595767378,M1,150,TS
3,187,0.9953844260642624,0.9952431715413409,M1,150,TS
3,188,0.9953396535246629,0.9952026787859615,M1,150,TS
3,189,0.9953058687211954,0.9951685245198566,M1,150,TS
3,190,0.9952704270164792,0.9951355432844157,M1,150,TS
3,191,0.9952322818676387,0.9951161846411288,M1,150,TS
3,192,0.9951643814803146,0.9950706009703436,M1,150,TS
3,193,0.995099388061318,0.9950035970461047,M1,150,TS
3,194,0.9950507740559454,0.9949555225147708,M1,150,TS
3,195,0.9950369504778394,0.9948818542055649,M1,150,TS
3,196,0.9950429987886786,0.9948311584534955,M1,150,TS
3,197,0.9950691480067563,0.9947827163373993,M1,150,TS
3,198,0.9951153981320696,0.9947365278572737,M1,150,TS
3,199,0.9951817491646184,0.9946925930131186,M1,150,TS
3,200,0.9952682011044028,0.994650911804934,M1,150,TS
4,151,0.9767030436512549,0.9771735461192758,M1,150,TS
4,152,0.976800964527353,0.9769587842244362,M1,150,TS
4,153,0.976863456319432,0.9767420661722125,M1,150,TS
4,154,0.9768905190274921,0.9765233919626046,M1,150,TS
