feature_set,length,baseline,MAE,RMSE,MAE_pp,RMSE_pp,MAPE_percent,SOH_relative_agreement_percent,R2,E200_median,E200_q90,battery_RMSE_median,battery_RMSE_q90,battery_RMSE_max,alpha_median,K_median
M2,150,TS,0.00037358815571286426,0.0005831067841550405,0.037358815571286424,0.05831067841550405,0.037735774308158165,99.96226422569184,0.9964108848906148,0.0004245990318441639,0.00100497578281208,0.0003224266536867019,0.0006735127266980136,0.001906016651991827,2154.4346900318824,3.0
M4,150,TS,0.0003319242629761964,0.0005981507527932532,0.03319242629761964,0.059815075279325315,0.03353558362917462,99.96646441637083,0.9962232998461453,0.000335471787919428,0.0015507986153592615,0.0002489680355201047,0.0010295369622080476,0.002394094595618775,100.0,3.0
M2D,150,TS,0.0003729977917315801,0.0006393972300437549,0.037299779173158014,0.06393972300437549,0.03766632458509922,99.9623336754149,0.9956844843122178,0.0003761599401703175,0.0009607836925066184,0.000296538676046326,0.000684625555078194,0.002534014352877381,464.1588833612773,3.0
M1D2,150,TS,0.0005335330946264949,0.00172713606667317,0.05335330946264949,0.172713606667317,0.05461060967327353,99.94538939032672,0.9685120559266245,0.0004921719960198634,0.001432644105572179,0.0003422752663883562,0.0009966399107658897,0.010377474787507756,10000.0,3.0
M3,150,TS,0.0005044634396215832,0.0018822614119209118,0.050446343962158316,0.18822614119209116,0.05179524420121269,99.94820475579878,0.962601767567341,0.00034443843376635863,0.0013980085406376192,0.0002631917351806003,0.0009732434730604608,0.01143959577139332,100.0,3.0
M1,150,TS,0.0005687149618777357,0.0020195586866512453,0.05687149618777357,0.20195586866512452,0.05832079993428004,99.94167920006572,0.9569469271035037,0.0004919343252314246,0.0014166472554434934,0.0003420433012354721,0.0010122891754389862,0.012343181285763727,10000.0,3.0
M1D,150,TS,0.0006014536976743832,0.002167699217035577,0.06014536976743832,0.2167699217035577,0.06176330994450179,99.9382366900555,0.9503991361603227,0.000492113719154863,0.0014016239753233302,0.00034205287366552157,0.001024423513562539,0.0133093272322546,10000.0,3.0
