battery_id,selected_n0,selected_model,life_predicted_trajectory,life_observed_to_200_reference,relative_difference,relative_difference_percent
1,31,centered_quadratic,1090.2616285088932,982.2698742838348,0.10994102237309708,10.994102237309708
3,31,centered_quadratic,1788.1462160686488,1914.73264517035,0.06611180387037226,6.611180387037225
4,31,centered_quadratic,639.4472966852736,697.1598165309205,0.082782338392401,8.2782338392401
6,31,centered_quadratic,1574.2102237740821,1253.41073944454,0.2559412283891131,25.59412283891131
7,31,centered_quadratic,965.8022642144382,787.6249299642377,0.22622104439773214,22.622104439773214
8,31,centered_quadratic,734.2157927074119,636.3312727678513,0.15382635449267196,15.382635449267196
12,31,centered_quadratic,2143.84087336116,1858.5846161428087,0.15348037142928386,15.348037142928387
13,31,centered_quadratic,1450.0564094816248,2016.0135974644884,0.28073083866828075,28.073083866828075
15,31,centered_quadratic,1164.8987297932342,1311.400423827112,0.11171392914937155,11.171392914937154
17,31,centered_quadratic,16377.872378595388,2790.6259356299984,4.868888470320189,486.88884703201893
18,31,centered_quadratic,1880.4782501966458,1520.4620000742714,0.2367808272122476,23.67808272122476
19,31,centered_quadratic,3184.611986009536,2070.952747785039,0.5377521237100157,53.775212371001565
20,31,centered_quadratic,2705.0330920037354,1596.6881661924092,0.6941524020024364,69.41524020024364
21,31,centered_quadratic,1601.3119115831216,1416.645759530717,0.13035450168825394,13.035450168825394
22,31,centered_quadratic,2668.52294171569,2339.0353596122327,0.1408647290214887,14.08647290214887
23,31,centered_quadratic,1906.8555958227525,1346.033227620217,0.41664823474979723,41.66482347497972
26,31,centered_quadratic,1263.8665308370348,1517.5062088229347,0.16714243178130878,16.71424317813088
27,31,centered_quadratic,2684.3851466947076,3089.730728751442,0.13119123238954034,13.119123238954034
28,31,centered_quadratic,2164.6970213485597,3856.4538734843713,0.4386819880740025,43.86819880740025
29,31,centered_quadratic,2398.0178148402147,1509.2271596861826,0.588904492905389,58.8904492905389
30,31,centered_quadratic,1337.7854795205672,1334.5543343944105,0.0024211416821952624,0.24211416821952625
31,31,centered_quadratic,1294.0946079268197,1200.1379918224288,0.07828817748008811,7.828817748008811
32,31,centered_quadratic,1263.9782994652824,1425.4739486834078,0.11329259953665627,11.329259953665627
33,31,centered_quadratic,1645.0334581647812,1396.023831817206,0.17837061278777677,17.83706127877768
34,31,centered_quadratic,1206.2349693654862,1337.5806326715226,0.09819644520697221,9.81964452069722
35,31,centered_quadratic,835.2721289261651,788.1788371167813,0.05974950048348757,5.974950048348758
36,31,centered_quadratic,1464.9953215558419,1374.4657999766437,0.06586524130373894,6.586524130373894
37,31,centered_quadratic,1514.543260975388,1976.862300298063,0.233865069536188,23.3865069536188
38,31,centered_quadratic,1658.9331364219142,2158.146890927874,0.23131592970084064,23.131592970084064
39,31,centered_quadratic,1599.6650118654434,1976.1297137170336,0.19050606811810586,19.050606811810585
40,31,centered_quadratic,1719.9824914419562,1746.0062842910513,0.014904753255032998,1.4904753255032999
41,31,centered_quadratic,1536.9337171645586,1689.341070728607,0.09021704154645081,9.02170415464508
42,31,centered_quadratic,1718.6465659122875,2193.6052872562664,0.21651968296358876,21.651968296358877
43,31,centered_quadratic,1538.0179184639069,2081.9612532840715,0.2612648693447835,26.12648693447835
44,31,centered_quadratic,1862.4141937969023,1378.5612883369674,0.3509839639002431,35.09839639002431
45,31,centered_quadratic,1293.5512871646117,1386.3885240451157,0.06696336219635561,6.696336219635561
46,31,centered_quadratic,1899.6536520586042,1613.2486338355777,0.17753309205790832,17.75330920579083
47,31,centered_quadratic,2325.291502929705,1369.137615684812,0.6983621487651891,69.83621487651891
48,31,centered_quadratic,2259.6545688815363,1943.0888103636123,0.16291883151685935,16.291883151685933
49,31,centered_quadratic,2700.602758300504,1686.727501686556,0.6010901319864504,60.109013198645044
