model,complexity_order,N,future_slope_MAE,future_slope_RMSE,mean_future_slope_MSE,SE_future_slope_MSE,future_slope_spearman,acceleration_sign_accuracy,one_SE_threshold,eligible_one_SE,selected_one_SE
Direct_zero_delta,0,40,9.891401620531627e-06,1.372445671629369e-05,1.88360712157419e-10,5.943435628657865e-11,0.8630393996247656,0.075,1.586298713624117e-10,False,False
Global_mean_delta,1,40,7.213016448410265e-06,1.0294663221852617e-05,1.0598009085136488e-10,3.5845761649446014e-11,0.8587242026266417,0.925,1.586298713624117e-10,True,True
Policy_mean_delta,2,40,6.096690415058409e-06,1.0231300603130366e-05,1.0467951203161577e-10,5.395035933079593e-11,0.801688555347092,0.875,1.586298713624117e-10,True,False
Ridge_SOH_Policy,3,40,6.989413576107806e-06,1.0413887632431043e-05,1.0844905562090024e-10,4.060664194266311e-11,0.7968105065666042,0.9,1.586298713624117e-10,True,False
