battery_id,MAE,RMSE
1,0.0014032046735935255,0.0018414410681764977
3,0.00010935351431557993,0.00013465832374569687
4,0.0007037572068338571,0.0007713760953737541
6,0.0003775931048714787,0.0004367944642617887
7,0.001222425394732698,0.0013142979774532215
8,0.0012181377148579964,0.0013070970817381157
12,0.00012713262158669636,0.00015250000526161617
13,0.0004367176043005916,0.00044937826876506116
15,0.00034120480716891554,0.00035160773216105854
17,0.00022190603669179244,0.00027925059195608944
18,0.0003193541015269186,0.00033234925863253603
19,0.00021767182959383513,0.00024517563188135213
20,0.0004919754351734084,0.0005199461631798986
21,0.00019563342467584954,0.00022419878083216018
22,0.00010234524640636345,0.00013052017295137657
23,0.000515998419249013,0.0005349711241585131
26,0.0002664686919340142,0.00032952186361311265
27,9.905475160703725e-05,0.0001181058681756804
28,0.00017545286283425997,0.00020979541121860022
29,0.00047447298206735765,0.0004983462509034279
30,0.00019178239377406702,0.0002230833918710837
31,0.0001586877618283844,0.0001894641046295718
32,0.00023537080534698828,0.00028207384724252536
33,0.00022248907084368108,0.00027395517429088597
34,0.00021036809899261267,0.00025439273016337484
35,0.0005416833058216608,0.0006017675086967634
36,0.000176885771900388,0.00019907229760418086
37,0.00022640340489233024,0.0002865914175482277
38,0.00015560753558832018,0.00021735912819945287
39,0.00017502795749555045,0.00021943346918996856
40,5.513225190293847e-05,6.859225291353064e-05
41,0.00011087408979068903,0.0001302128777672404
42,0.00017964548202374032,0.00022047690121865945
43,0.0002444750357008219,0.0002908602811013232
44,0.000435539872088766,0.0004522471818309936
45,0.00013588584249202285,0.00017279405840000238
46,0.0002252966723325045,0.00024573855012540314
47,0.0005649150676108383,0.000623036317672091
48,0.0001474957621735551,0.0001848975975708717
49,0.0003195789990564446,0.0004066337873006683
