held_out_battery,inner_baseline,selected_model,MAE,RMSE,MAE_pp,RMSE_pp,MAPE_percent,SOH_relative_agreement_percent,R2,E200_median,E200_q90,battery_RMSE_median,battery_RMSE_q90,battery_RMSE_max
1,TS,TS_ONLY,0.0014032046735935255,0.0018414410681764977,0.14032046735935255,0.18414410681764978,0.14040465189890639,99.8595953481011,0.12578712565057237,0.004007278860037933,0.004007278860037933,0.0018414410681764977,0.0018414410681764977,0.0018414410681764977
3,TS,TS_ONLY,0.00010935351431557993,0.00013465832374569687,0.010935351431557994,0.013465832374569688,0.010983318819118598,99.98901668118089,0.7836712924295512,0.00030083183143714276,0.00030083183143714276,0.00013465832374569687,0.00013465832374569687,0.00013465832374569687
4,TS,TS_ONLY,0.0007037572068338571,0.0007713760953737541,0.07037572068338571,0.0771376095373754,0.07240119130704428,99.92759880869295,0.9325520550532043,0.0009518141316030571,0.0009518141316030571,0.0007713760953737541,0.0007713760953737541,0.0007713760953737541
6,TS,TS_ONLY,0.0003775931048714787,0.0004367944642617887,0.03775931048714787,0.04367944642617887,0.037965302350975914,99.96203469764903,0.6600595784858394,0.001115381929792325,0.001115381929792325,0.0004367944642617887,0.0004367944642617887,0.0004367944642617887
7,TS,TS_ONLY,0.001222425394732698,0.0013142979774532215,0.1222425394732698,0.13142979774532215,0.12328538801927348,99.87671461198073,0.2068924750564789,0.002124115616523259,0.002124115616523259,0.0013142979774532215,0.0013142979774532215,0.0013142979774532215
8,TS,TS_ONLY,0.0012181377148579964,0.0013070970817381157,0.12181377148579964,0.13070970817381158,0.1237054202052819,99.87629457979472,0.6963322375356835,0.002232468260960907,0.002232468260960907,0.0013070970817381157,0.0013070970817381157,0.0013070970817381157
12,TS,TS_ONLY,0.00012713262158669636,0.00015250000526161617,0.012713262158669636,0.015250000526161617,0.012772069560240873,99.98722793043976,0.9526774697540804,0.00033352499595218355,0.00033352499595218355,0.00015250000526161617,0.00015250000526161617,0.00015250000526161617
13,TS,TS_ONLY,0.0004367176043005916,0.00044937826876506116,0.04367176043005916,0.04493782687650612,0.043843199869779304,99.95615680013022,0.44608983724941675,0.0005693479573689597,0.0005693479573689597,0.00044937826876506116,0.00044937826876506116,0.00044937826876506116
15,TS,TS_ONLY,0.00034120480716891554,0.00035160773216105854,0.034120480716891555,0.035160773216105855,0.034294910310726255,99.96570508968928,0.8149898805395974,0.00041347734358654353,0.00041347734358654353,0.00035160773216105854,0.00035160773216105854,0.00035160773216105854
17,TS,TS_ONLY,0.00022190603669179244,0.00027925059195608944,0.022190603669179243,0.027925059195608944,0.022243529647397897,99.9777564703526,0.03765163248018322,0.0008658870077815628,0.0008658870077815628,0.00027925059195608944,0.00027925059195608944,0.00027925059195608944
18,TS,TS_ONLY,0.0003193541015269186,0.00033234925863253603,0.03193541015269186,0.033234925863253606,0.03206840897071572,99.96793159102928,0.588095030671268,0.0003796403817998284,0.0003796403817998284,0.00033234925863253603,0.00033234925863253603,0.00033234925863253603
19,TS,TS_ONLY,0.00021767182959383513,0.00024517563188135213,0.021767182959383513,0.02451756318813521,0.021817853160426268,99.97818214683957,0.4192784824667346,0.0002761055045243932,0.0002761055045243932,0.00024517563188135213,0.00024517563188135213,0.00024517563188135213
20,TS,TS_ONLY,0.0004919754351734084,0.0005199461631798986,0.04919754351734085,0.05199461631798986,0.049372845293287025,99.95062715470671,-0.21146132829404563,0.00039167696891151405,0.00039167696891151405,0.0005199461631798986,0.0005199461631798986,0.0005199461631798986
21,TS,TS_ONLY,0.00019563342467584954,0.00022419878083216018,0.019563342467584954,0.022419878083216018,0.019676827552505716,99.9803231724475,0.903062616361378,0.00011567719497995732,0.00011567719497995732,0.00022419878083216024,0.00022419878083216024,0.00022419878083216024
22,TS,TS_ONLY,0.00010234524640636345,0.00013052017295137657,0.010234524640636344,0.013052017295137656,0.010263505458442882,99.98973649454156,0.868804625781191,2.4252796409052202e-05,2.4252796409052202e-05,0.00013052017295137657,0.00013052017295137657,0.00013052017295137657
23,TS,TS_ONLY,0.000515998419249013,0.0005349711241585131,0.0515998419249013,0.05349711241585131,0.05189643078733673,99.94810356921266,0.4402237194676122,0.0005858357520291957,0.0005858357520291957,0.0005349711241585131,0.0005349711241585131,0.0005349711241585131
26,TS,TS_ONLY,0.0002664686919340142,0.00032952186361311265,0.026646869193401423,0.03295218636131127,0.02678475128744891,99.97321524871255,0.5472496294243774,0.0005930031676467662,0.0005930031676467662,0.00032952186361311265,0.00032952186361311265,0.00032952186361311265
27,TS,TS_ONLY,9.905475160703725e-05,0.0001181058681756804,0.009905475160703725,0.01181058681756804,0.009960333372467484,99.99003966662754,0.9630163086190463,2.9981591712746614e-05,2.9981591712746614e-05,0.00011810586817568042,0.00011810586817568042,0.00011810586817568042
28,TS,TS_ONLY,0.00017545286283425997,0.00020979541121860022,0.017545286283425998,0.020979541121860023,0.017643820540298425,99.9823561794597,0.8804332258859476,0.00017845342486899618,0.00017845342486899618,0.00020979541121860025,0.00020979541121860025,0.00020979541121860025
29,TS,TS_ONLY,0.00047447298206735765,0.0004983462509034279,0.047447298206735766,0.04983462509034279,0.04764064219931218,99.95235935780069,0.15243539538477435,0.0006182775038260369,0.0006182775038260369,0.0004983462509034279,0.0004983462509034279,0.0004983462509034279
30,TS,TS_ONLY,0.00019178239377406702,0.0002230833918710837,0.019178239377406703,0.02230833918710837,0.01966762665801288,99.98033237334198,0.9894966235239947,0.00020401209005738163,0.00020401209005738163,0.00022308339187108368,0.00022308339187108368,0.00022308339187108368
31,TS,TS_ONLY,0.0001586877618283844,0.0001894641046295718,0.01586877618283844,0.01894641046295718,0.015929410457749937,99.98407058954226,0.9018953502548159,0.0005095071298952814,0.0005095071298952814,0.0001894641046295718,0.0001894641046295718,0.0001894641046295718
32,TS,TS_ONLY,0.00023537080534698828,0.00028207384724252536,0.02353708053469883,0.028207384724252535,0.023615671368813082,99.97638432863118,0.6565544396891905,2.9633391448458113e-06,2.9633391448458113e-06,0.00028207384724252536,0.00028207384724252536,0.00028207384724252536
