channel,best_trajectory_family,best_nontrivial_family,best_complete_interaction_diagnostic,selected_one_SE,best_mean_battery_MSE,best_SE,one_SE_threshold,nontrivial_improvement_percent,incremental_relation_retained
IR,ANCHOR_GLOBAL,ANCHOR_GLOBAL,FULL_POLICY,PERSIST,6.130308571459442e-09,1.8394810678120717e-09,7.969789639271513e-09,5.877578963319085,False
Tavg,ANCHOR_GLOBAL,ANCHOR_GLOBAL,FULL_POLICY,PERSIST,0.09351416755051294,0.01434671812796056,0.10786088567847349,6.884336657223986,False
ChargeTime,ANCHOR_POLICY,ANCHOR_POLICY,FULL_POLICY,PERSIST,0.37362657301823693,0.3692400923407616,0.7428666653589986,2.3896435436360677,False
