C1,Q1,C2,T_theoretical_0_80,A,E_L_50,E_H_50,D_50,nearest_standardized_distance,A_z,D_z,selection_q50,selection_q90,selection_q95,point_prediction
3.7,31.0,5.9,10.010077874484654,5.0475,4.536,5.9,1.3640000000000008,0.0,2.0916337255105524,1.9898813253957448,0.0001924483405945085,0.00021657470977094146,0.00021666737310605222,0.00019248896670348402
4.1,32.0,5.6,9.825783972125437,5.0,4.64,5.6,0.96,0.7699205568615792,1.4955181137400453,1.4924109940468078,0.00015449894812811395,0.00017326307888347757,0.00017349097251667778,0.00015448135160223147
4.2,31.0,5.5,9.774025974025975,4.99625,4.694,5.5,0.806,0.9841259761879446,1.4484563549160563,1.3027812142751838,0.00014727019514551614,0.00016499972453633854,0.00016526483478624017,0.00014723658723596715
4.2,32.0,5.5,9.80779220779221,4.9799999999999995,4.668,5.5,0.8319999999999999,0.985256524862209,1.2445220666787749,1.334796631639224,0.00013997063781196975,0.00015673229194450145,0.00015706080047140494,0.00013994164978658856
4.2,33.0,5.5,9.84155844155844,4.96375,4.642,5.5,0.8579999999999997,0.9886404139577758,1.0405877784415045,1.366812049003264,0.00013263456027598643,0.00014858885767845745,0.00014909814457310443,0.0001326467123372104
4.3,31.0,5.4,9.77002583979328,4.97375,4.718,5.4,0.6820000000000004,1.2003936362251189,1.1660858019721343,1.1500923006928374,0.0001316196087896542,0.00014716574266962764,0.00014750351762378262,0.00013157458735118936
4.3,32.0,5.4,9.798449612403102,4.96,4.696,5.4,0.7040000000000006,1.2013206752010244,0.9935260196175157,1.1771822692316412,0.0001254382362018465,0.00014019797735365658,0.00014065879467318982,0.00012540194797094613
4.3,33.0,5.4,9.82687338501292,4.94625,4.6739999999999995,5.4,0.7260000000000009,1.2040975097526323,0.8209662372628973,1.204272237770445,0.00011922314350698321,0.00013332336414762118,0.00013391997459571197,0.00011922930859070287
4.4,32.0,5.3,9.797598627787307,4.9399999999999995,4.724,5.3,0.5759999999999996,1.4177801305293132,0.7425299725562454,1.0195679068240562,0.00011091094669642517,0.00012366113062461614,0.00012425856426239788,0.00011086224615530316
4.4,33.0,5.3,9.820754716981131,4.92875,4.706,5.3,0.5939999999999994,1.4201337778007963,0.60134469608429,1.0417324265376224,0.00010581467029289871,0.00011804905882117446,0.00011875510395518856,0.00010581190484419524
