role,policy,is_experimental,C1,Q1,C2,T_obs,r_stable_observed,EOL_base,pareto_observed,T_theoretical_0_80,A,D_50,robust_q50,robust_q90,robust_q95,design,nearest_standardized_distance
recommended_existing,5_3C_54PER_4C_NEWSTRUCTURE,True,5.3,54.0,4.0,10.042935416666324,2.1684793076225122e-05,1593.0990741793662,True,10.013207547169811,4.8774999999999995,-1.126666666666666,2.035667257610729e-05,2.388291222970833e-05,2.4834896775528873e-05,,
typical_long_EOL,4_8C_80PER_4_8C_NEWSTRUCTURE,True,4.8,80.0,4.8,11.03838458333335,1.8100960979279025e-05,1775.074769975773,True,10.000000000000002,4.8,0.0,2.038462251163754e-05,2.4218584070090965e-05,2.5261510382619567e-05,,
typical_short,4_8C_80PER_4_8C,True,4.8,80.0,4.8,10.0538083333334,8.487886412842494e-05,640.26791983904,False,,,,,,,,
optimized_local_candidate,NEW_LOCAL_CANDIDATE,False,5.1,45.0,4.5,,,,False,9.960784313725492,4.8374999999999995,-0.54,2.0599839104336863e-05,2.2716577983828906e-05,2.3427422543805536e-05,optimized_local_candidate,0.9302604339156701
