draw,best_existing_prediction,optimized_candidate_prediction,candidate_minus_existing
61,2.0824199699957297e-05,2.0350524612647465e-05,-4.736750873098321e-07
62,1.999093621795458e-05,1.9480652194439388e-05,-5.102840235151936e-07
63,1.974272283184762e-05,1.8998704702955756e-05,-7.440181288918627e-07
64,2.465459264708477e-05,2.269953705856546e-05,-1.9550555885193095e-06
65,2.024756291331212e-05,1.9228067629601158e-05,-1.0194952837109606e-06
66,1.945631337593384e-05,2.1685886287686877e-05,2.229572911753037e-06
67,1.9485376114684604e-05,1.8729273887281476e-05,-7.561022274031284e-07
68,2.000646226559408e-05,2.0768199488165873e-05,7.617372225717925e-07
69,1.660320736023674e-05,1.9868293583979285e-05,3.2650862237425455e-06
70,2.0355958406939908e-05,2.107379944639727e-05,7.178410394573635e-07
71,2.0791943950070152e-05,2.3705460882453333e-05,2.913516932383181e-06
72,2.3705066665228582e-05,2.2112389823169215e-05,-1.5926768420593665e-06
73,1.8625032347751084e-05,1.9705469455352327e-05,1.0804371076012434e-06
74,1.9306151306505995e-05,1.9695167199831065e-05,3.8901589332507e-07
75,1.55061313800091e-05,1.799120549539472e-05,2.4850741153856197e-06
76,2.112720068839713e-05,1.9955661138604483e-05,-1.1715395497926474e-06
77,2.4258712083042302e-05,2.062652992454801e-05,-3.6321821584942907e-06
78,2.1133783620917046e-05,2.237846645089434e-05,1.2446828299772943e-06
79,2.0204374886744137e-05,2.3012901294464777e-05,2.8085264077206404e-06
80,2.0445199135127094e-05,1.869692495835923e-05,-1.7482741767678652e-06
81,1.8971953757472595e-05,1.9647103952950818e-05,6.751501954782227e-07
82,1.650261497200578e-05,1.676897205102104e-05,2.663570790152622e-07
83,1.9827594521848373e-05,1.84783992530908e-05,-1.349195268757571e-06
84,2.2013727740718247e-05,2.1286767041345688e-05,-7.269606993725588e-07
85,2.0291794099455876e-05,2.25622065868433e-05,2.270412487387424e-06
86,1.9484771759398892e-05,1.8607443499867744e-05,-8.773282595311483e-07
87,2.1811091863692873e-05,1.987263245480744e-05,-1.9384594088854326e-06
88,1.8982578089267403e-05,2.0595937643657685e-05,1.6133595543902824e-06
89,1.92447691310467e-05,2.163545881503421e-05,2.390689683987508e-06
90,2.2021419669903458e-05,2.1797197757763908e-05,-2.2422191213954972e-07
91,2.2194227370278737e-05,2.2450736251998838e-05,2.565088817201003e-07
92,1.749426854393729e-05,1.796845947963558e-05,4.7419093569829173e-07
93,2.1701358240802502e-05,1.935835938136628e-05,-2.3429988594362224e-06
94,1.7602547640746836e-05,1.9496250421321894e-05,1.893702780575058e-06
95,2.351285924422767e-05,1.9503333141221585e-05,-4.009526103006085e-06
96,2.2418788215230513e-05,2.335788521701115e-05,9.390970017806371e-07
97,2.3373578485841398e-05,2.2186088747542563e-05,-1.1874897382988348e-06
98,1.844387270424957e-05,2.1369069670704473e-05,2.925196966454902e-06
99,1.8172100021245208e-05,1.9916056663084242e-05,1.7439566418390347e-06
100,2.172502092416036e-05,2.136756508353815e-05,-3.5745584062221036e-07
101,2.1868048283174423e-05,2.0967111951294078e-05,-9.00936331880345e-07
102,1.8865479470768268e-05,2.2519883850868517e-05,3.6544043801002492e-06
103,1.95748694283998e-05,1.8603975464845063e-05,-9.708939635547385e-07
