design,policy,C1,Q1,C2,T_theoretical_0_80,A,D_50,nearest_standardized_distance,validation_q50,validation_q90,validation_q95
best_existing,5_3C_54PER_4C_NEWSTRUCTURE,5.3,54.0,4.0,10.013207547169811,4.8775,-1.126666666666666,0.0,2.035667257610776e-05,2.388291222970881e-05,2.4834896775529256e-05
optimized_local_candidate,NEW_LOCAL_CANDIDATE,5.1,45.0,4.5,9.960784313725492,4.8374999999999995,-0.54,0.9302604339156701,2.0599839104336863e-05,2.2716577983828906e-05,2.3427422543805536e-05
