policy,N_complete,SOH200_observed,SOH200_oof,future_rate_observed,future_rate_oof,stable_rate_median,future_observed_rank,future_oof_rank
3_6C-80PER_3_6C,2,0.995859539039716,0.9977127625540163,7.543775259302721e-05,3.837328230702042e-05,1.9712979025032244e-05,6.0,3.0
3_7C_31PER_5_9C_NEWSTRUCTURE,2,0.9658018005828627,0.9657952617182404,0.00019500679217426044,0.00019513756946670568,0.0001925486538435,9.0,9.0
4_8C_80PER_4_8C,2,0.9854336570392908,0.9876119489780328,0.00014456048529555397,0.0001009946465207101,8.487886412842494e-05,8.0,7.0
4_8C_80PER_4_8C_NEWSTRUCTURE,5,0.9963868506917772,0.9972048147806856,3.3541471242399814e-05,2.306248524561738e-05,1.8100960979279025e-05,1.0,1.0
5C_67PER_4C_NEWSTRUCTURE,6,0.9952489527833159,0.9958128451001766,3.971181924297684e-05,3.3523232133366725e-05,2.306804012471077e-05,3.0,2.0
5_3C_54PER_4C_NEWSTRUCTURE,7,0.99529820912875,0.9956031065794748,3.415216201624771e-05,3.870643375472493e-05,2.168479307622512e-05,2.0,4.0
5_6C_19PER_4_6C_NEWSTRUCTURE,7,0.9938339127224406,0.9942003790745272,4.596619398295143e-05,4.2713048125031516e-05,3.0645869177710385e-05,5.0,5.0
5_6C_36PER_4_3C_NEWSTRUCTURE,7,0.9940618751388716,0.9940203383314086,4.4235351776686915e-05,4.780442027406684e-05,2.733725662857601e-05,4.0,6.0
80PER_3_6C,2,0.9803603106405934,0.980442094539688,0.00013200734095251688,0.0001303716629706253,2.717764503790374e-05,7.0,8.0
