response,N_policies,MAE,RMSE,spearman,predictor_1,predictor_2,coef_1_positive_folds,coef_1_negative_folds,coef_2_positive_folds,coef_2_negative_folds,coef_1_min,coef_1_max,coef_2_min,coef_2_max
rate_response,6,7.908315976318437e-06,1.1329157036699394e-05,0.8857142857142858,A,D_50,6,0,6,0,1.329604644613321e-05,4.515543928834461e-05,1.184013546218862e-05,3.257601493949153e-05
eol_response,6,110.89031386647054,133.09569941565027,0.3714285714285715,A,D_50,0,6,0,6,-273.9216649974736,-74.03071135665753,-138.57153713396087,-20.060143776002676
