parameterization,variable,R2_aux,VIF
raw_C1_Q1_C2,C1,0.8185011332046843,5.509676273228441
raw_C1_Q1_C2,Q1,0.49828556284611125,1.9931656853902218
raw_C1_Q1_C2,C2,0.8367726519240338,6.126424350989265
reparameterized_A_D,A,0.45685765335643236,1.8411379745653327
reparameterized_A_D,D_50,0.4568576533564329,1.8411379745653347
