response,H,p_asymptotic,p_permutation,p_permutation_percent,permutation_exceedances,permutation_draws,eta_H2,N,G
stable_rate,24.504023323615172,0.0018855419834403048,0.0001999980000199998,0.019999800001999978,19,100000,0.4126005830903793,49,9
life_150,17.096705539358624,0.029117698571004907,0.015219847801521984,1.5219847801521984,1521,100000,0.2274176384839656,49,9
