response,response_scale,intercept,beta_A,beta_D,R2,adjusted_R2,permutation_p,permutation_p_percent,permutation_exceedances,permutation_total,beta_A_ci_low,beta_A_ci_median,beta_A_ci_high,beta_D_ci_low,beta_D_ci_median,beta_D_ci_high
stable_rate,raw,5.223092897166984e-05,4.020241802107589e-05,2.8227464439723512e-05,0.9982920253722248,0.9971533756203748,0.018055555555555554,1.8055555555555554,13,720,2.903029799346296e-05,4.014673047732218e-05,4.786401818038931e-05,1.9052362712332245e-05,2.8180919257488934e-05,3.499445580917817e-05
EOL,raw,1496.843313792313,-235.432138324418,-74.32449514703683,0.9520655717054193,0.9201092861756988,0.04583333333333333,4.583333333333333,33,720,-1921.7088142753796,-247.80911479727888,534.9084077723587,-1110.4731675122907,-55.406937702710074,1171.48815434854
