n0,model,N_batteries,mean_battery_MSE,SE_battery_MSE,pooled_RMSE,pooled_MAE,median_E200,median_eol_relative_update,mean_eol_relative_update,eol_spearman_150_200,nonfinite_eol_count,boundary_count,one_SE_threshold,eligible_one_SE,selected
11,centered_quadratic,40,3.3511174625876043e-07,1.3435382079774984e-07,0.0005788883711552344,0.00035771306082289924,0.0005090396544237263,0.08477032371420021,0.10499440957810946,0.8761726078799251,0,15,2.4734285662494205e-07,False,False
11,linear,40,1.5733433556128278e-06,5.45731548855764e-07,0.001254329843228179,0.0008828000240844499,0.001066086118255427,0.2203806995202339,0.26900195434237867,0.95422138836773,0,0,2.4734285662494205e-07,False,False
11,power,40,4.955128196418141e-07,1.3469677313466066e-07,0.000703926714681162,0.000462837291285065,0.0006836932980011645,0.2106742089296388,0.231432015872208,0.926454033771107,0,1,2.4734285662494205e-07,False,False
21,centered_quadratic,40,2.5599027816140595e-07,9.82840337615642e-08,0.000505954818300415,0.00030921527196179044,0.00045597608935049605,0.09480854421767607,0.16784508793548997,0.8724202626641653,0,5,2.4734285662494205e-07,False,False
21,linear,40,1.1569900125809048e-06,4.276176931237562e-07,0.0010756347022018696,0.0007144069476172363,0.0009048024651489572,0.17960358443382995,0.19842505451727183,0.9666041275797375,0,0,2.4734285662494205e-07,False,False
21,power,40,2.353867621142071e-07,7.439181902941734e-08,0.0004851667364053384,0.0003165233264130885,0.00046543909215929213,0.19765938258200494,0.2295258088774769,0.9200750469043153,0,0,2.4734285662494205e-07,True,False
31,centered_quadratic,40,2.0574480976363503e-07,8.579780574499672e-08,0.0004535910159644203,0.0002738190291470514,0.00038653767178259413,0.11766065275437351,0.3066017281873166,0.8472795497185742,0,2,2.4734285662494205e-07,True,True
31,linear,40,9.10275390801678e-07,3.5304520974737003e-07,0.0009540835344987765,0.0006014926837552848,0.0007402713048508813,0.14757224875144445,0.16612198740340425,0.9656660412757976,0,0,2.4734285662494205e-07,False,False
31,power,40,1.7874885436254173e-07,6.859400226240032e-08,0.00042278700827076243,0.00026840840575625464,0.00037021707897011424,0.1973833742345768,0.46227633974696253,0.8851782363977486,0,0,2.4734285662494205e-07,True,False
41,centered_quadratic,40,1.9975467789925163e-07,8.068411545686288e-08,0.00044693923289330017,0.00026629041067043535,0.0002880379475825867,0.13138367202083967,0.3138002935482681,0.8497185741088181,0,0,2.4734285662494205e-07,True,False
41,linear,40,7.390124839962388e-07,2.912408050446741e-07,0.0008596583530660531,0.0005232469516383274,0.000624518446288469,0.12676311341148333,0.15029004121085404,0.9579737335834897,0,0,2.4734285662494205e-07,False,False
41,power,40,1.8297406224652719e-07,7.044886068840797e-08,0.00042775467530645087,0.00026743658936635007,0.00031246863742995235,0.21698161317921566,0.7057628737373846,0.8510318949343341,0,0,2.4734285662494205e-07,True,False
51,centered_quadratic,40,2.3191523105291564e-07,1.0593318752399377e-07,0.0004815757791385647,0.00027183751548894285,0.00028266352394368255,0.19998581102771237,0.5470389211732368,0.8259109311740891,1,3,2.4734285662494205e-07,True,False
51,linear,40,6.19493759305237e-07,2.4571109340922056e-07,0.0007870792585916853,0.00046461673040662955,0.0005818074831289155,0.11212000510094502,0.13978692160956388,0.9675422138836773,0,0,2.4734285662494205e-07,False,False
51,power,40,2.3388148743449206e-07,9.308446015266128e-08,0.00048361295209546656,0.00029402665378668025,0.0003060956994661024,0.3171411744014757,5182.127997493933,0.8080675422138839,0,1,2.4734285662494205e-07,True,False
