battery_id,policy,n0,model,MAE_151_200,MSE_151_200,RMSE_151_200,E200,life_150,life_200,eol_relative_update,fit150_A,fit150_B,fit150_C,fit200_A,fit200_B,fit200_C,fit150_boundary,fit200_boundary
1,3_6C-80PER_3_6C,11,linear,0.002520507110361767,9.83241285567652e-06,0.0031356678484298238,0.006653105408040649,15562.554233650202,6927.947028415888,1.2463442878270194,1.0057481257890952,-1.3220717030127058e-05,1.0,1.0068398424212857,-2.9855863731767107e-05,1.0,False,False
1,3_6C-80PER_3_6C,11,power,0.0017103309661202083,4.336586590065102e-06,0.0020824472598519996,0.0003227055934841294,410.94860080325947,532.7103876707878,0.22857032580107384,1.0052196551155552,1.0000000000000365e-12,4.327903062896222,1.005264113472376,5.874988991137418e-11,3.500215255279427,True,False
1,3_6C-80PER_3_6C,11,centered_quadratic,0.0015636705008906483,4.982252685288296e-06,0.0022320960295848153,0.004931061420336946,1360.11770489928,1112.0024718558298,0.22312471358932207,1.0054133119141926,3.020984761733685e-11,1.128570815253016e-07,1.0057160577913977,4.0583177723213104e-21,1.697038148689805e-07,False,True
1,3_6C-80PER_3_6C,21,linear,0.0020596670004106744,7.539913123545447e-06,0.0027458902242342913,0.006028185753355841,10414.540838134677,5954.731294287001,0.7489522739886583,1.006443588710257,-1.982262990935974e-05,1.0,1.0075328250711189,-3.4851753137916875e-05,1.0,False,False
1,3_6C-80PER_3_6C,21,power,0.0014354198463328728,2.7348300249566065e-06,0.0016537321503062722,0.001573423000225338,532.7604905258839,600.4700250992407,0.11276089020791058,1.0055040784976008,1.2371807984021367e-10,3.38172713186579,1.0055405055541595,4.957091547408871e-10,3.101564643891612,False,False
1,3_6C-80PER_3_6C,21,centered_quadratic,0.0014199297892229445,3.555477535568057e-06,0.0018855973948772992,0.004079269298652988,1156.9589437240672,1032.960761661331,0.12004152206450476,1.0056361394911395,3.9852458709130495e-19,1.5935811046650598e-07,1.0058344238197896,9.08379951846891e-12,2.0099749372814978e-07,True,False
1,3_6C-80PER_3_6C,31,linear,0.0019159374740346147,6.8442019352371705e-06,0.002616142567834783,0.005807791241430826,9294.534918621071,5532.577958508858,0.6799645641371383,1.006706584905467,-2.2239583445035227e-05,1.0,1.0079208474308454,-3.758118710484186e-05,1.0,False,False
1,3_6C-80PER_3_6C,31,power,0.001426795526596154,2.6462283370709864e-06,0.0016267231900575422,0.001828904576062107,558.3806168158916,609.6043920748011,0.08402789731315478,1.0055405711276717,2.336195457751857e-10,3.2561395069426955,1.005573459850852,6.273915806532762e-10,3.0575516442875945,False,False
1,3_6C-80PER_3_6C,31,centered_quadratic,0.0013962226206999252,3.1464976903127357e-06,0.0017738369965452675,0.0037046393527840893,1069.811231197216,982.2698742838348,0.089121492173632,1.005597011804466,1.1845609560631067e-10,1.9052118124618818e-07,1.0057512726123115,5.916373339434505e-12,2.2737097891199088e-07,False,False
1,3_6C-80PER_3_6C,41,linear,0.0018116836394710622,6.33723448443634e-06,0.0025173864392334243,0.005633545908228954,8543.01209741417,5186.418072451236,0.6471892504756216,1.0069288224963402,-2.4221998065409986e-05,1.0,1.008296303662387,-4.016188065686359e-05,1.0,False,False
1,3_6C-80PER_3_6C,41,power,0.001431249564127972,2.690837662347766e-06,0.0016403772926823165,0.0016873009529749794,543.3758210041627,608.169257269218,0.10653849317538447,1.0055178011953734,1.6180468908388957e-10,3.328528138550971,1.0055679652103506,6.047237275948636e-10,3.0644121634983446,False,False
1,3_6C-80PER_3_6C,41,centered_quadratic,0.0013858295121517794,2.880698763744136e-06,0.0016972621376040108,0.0033682596922059993,996.3707144232601,936.1008073392755,0.0643839922062375,1.0055114252368809,5.3163933875019585e-11,2.2516040174755976e-07,1.0056263561564014,3.4793939059518614e-12,2.5664622186720796e-07,False,False
1,3_6C-80PER_3_6C,51,linear,0.001692020194818773,5.728806943304924e-06,0.0023934926244517495,0.005404818575419967,7692.651298332367,4835.399415635199,0.5909029714191308,1.0072437935017144,-2.6940489756326436e-05,1.0,1.0087444864222825,-4.317006072907028e-05,1.0,False,False
1,3_6C-80PER_3_6C,51,power,0.0014254362742096105,2.6331524558680297e-06,0.0016226991267231366,0.001880336346566036,565.2424289734171,617.0057939764694,0.08389445530073317,1.0055558607967368,2.774646062821978e-10,3.2227346374285624,1.005603493530666,7.574010910162793e-10,3.022519828971096,False,False
1,3_6C-80PER_3_6C,51,centered_quadratic,0.0013937919441561841,2.6635971429664098e-06,0.0016320530453898885,0.0029379639380493483,920.0586586731526,890.0240227693279,0.033745871050054804,1.0054304988255154,2.4430305635811467e-08,2.7197053271911963e-07,1.0054941331397154,9.705889266523703e-12,2.9191110626147236e-07,False,False
3,3_6C-80PER_3_6C,11,linear,0.0005660557820066115,3.366426036531509e-07,0.0005802091033870039,0.0005505125580529402,15084.56031651573,11877.673151483903,0.26999287858255167,0.9984498792393816,-1.3155827884628722e-05,1.0,0.9986776743892823,-1.672698615759275e-05,1.0,False,False
3,3_6C-80PER_3_6C,11,power,0.000541726558167821,4.198323132198209e-07,0.000647944683765382,0.0013560669054331065,906.5074904757146,1744.651009581296,0.4804075511392562,0.9979804760544715,4.946996862611848e-09,2.570620902372263,0.9980698466063588,1.2889532772029555e-07,1.908432255413102,False,False
3,3_6C-80PER_3_6C,11,centered_quadratic,0.00024364687190548518,9.430346932732209e-08,0.00030708869944581497,0.0007413769772066647,1433.2950051992382,1564.5055042499025,0.08386707409736652,0.9980235458487747,3.0927728855996584e-20,9.788980492087415e-08,0.9980130833789463,1.388874585159585e-06,8.115402948376378e-08,True,False
3,3_6C-80PER_3_6C,21,linear,0.00043885644533884214,2.0514651265599068e-07,0.0004529310241703373,0.00037877637446603885,13266.077282499598,11051.75722469038,0.20035909338130195,0.9986417091530939,-1.4973658371125194e-05,1.0,0.9988534334937605,-1.799292451425809e-05,1.0,False,False
3,3_6C-80PER_3_6C,21,power,0.00042084263834191393,2.615399579126378e-07,0.0005114097749482677,0.001102669555096969,1087.1496915127834,2093.1576857451487,0.4806173949929787,0.9980630419085585,1.7853628303444785e-08,2.3202916951676023,0.9981894480707657,3.0776906565356036e-07,1.7492327622745911,False,False
3,3_6C-80PER_3_6C,21,centered_quadratic,0.0003799861596761778,2.1361143587318134e-07,0.00046218117213186143,0.0010026872908993623,1322.2131586481378,1695.9024959468752,0.22034836212095732,0.9980127026399405,1.8767926566619126e-10,1.1694876039600626e-07,0.9981195454417511,5.991689552121861e-06,6.704600537506203e-08,False,False
3,3_6C-80PER_3_6C,31,linear,0.00031853372033967763,1.1173407442353634e-07,0.000334266472179811,0.00021431440589070316,11853.024380267381,10385.189636674872,0.1413392335570755,0.9988375675402423,-1.67752601497439e-05,1.0,0.999019758183296,-1.9163805876058908e-05,1.0,False,False
3,3_6C-80PER_3_6C,31,power,0.000291843087285506,1.306774431327628e-07,0.0003614933514364584,0.0008256126845347378,1419.3616579485151,2678.814730645639,0.470153108495702,0.9981842680951013,8.163173855389774e-08,2.0257048224678567,0.9983569664955737,8.351672856978993e-07,1.5681924956038005,False,False
3,3_6C-80PER_3_6C,31,centered_quadratic,0.0003349652052044361,1.68336415705575e-07,0.0004102882105369042,0.0009089949972853617,1389.4625092511337,1914.73264517035,0.2743307987379533,0.9980738980318812,4.386966401260134e-06,1.0410330881099227e-07,0.9981882248849744,1.0683258870222333e-05,5.018075151380837e-08,False,False
3,3_6C-80PER_3_6C,41,linear,0.00020622548562009512,5.118742901079294e-08,0.000226246390050301,5.621387930476729e-05,10714.591061217154,9843.132344068154,0.08853469471780236,0.9990397171546909,-1.8576510854916413e-05,1.0,0.9991756371121673,-2.023498518052519e-05,1.0,False,False
3,3_6C-80PER_3_6C,41,power,0.00015264111081318753,3.690722708176669e-08,0.00019211253754444733,0.0004966780259939574,2344.07641225669,3884.3226846673124,0.396528918282324,0.9984307711272478,6.765094683937653e-07,1.6223682340630812,0.9986283633111809,2.829583583629211e-06,1.350207025651179,False,False
3,3_6C-80PER_3_6C,41,centered_quadratic,0.00017977398200789364,5.130953127260908e-08,0.00022651607287918683,0.0005711096518135061,1720.5862195372317,2364.0948267285685,0.27220084402528943,0.9981539066051149,1.1677977270187197e-05,6.328929894251987e-08,0.9982200676192734,1.5452639592212486e-05,3.0077645209484796e-08,False,False
3,3_6C-80PER_3_6C,51,linear,0.00015417300670485855,2.9372063881561564e-08,0.0001713827992581565,3.289705711906343e-05,10146.263096320132,9553.531985292217,0.06204313880357885,0.9991611061733007,-1.962901063008437e-05,1.0,0.9992682738689417,-2.0858073660685667e-05,1.0,False,False
3,3_6C-80PER_3_6C,51,power,9.567280663096423e-05,1.5654818990521455e-08,0.00012511921910930173,0.00032113415947243595,3633.5886252424934,5187.214230240728,0.2995105920131111,0.9986659943879905,2.591297314334039e-06,1.3719510246704925,0.9988555681759028,6.152768612967898e-06,1.2138753876286974,False,False
