outer_battery_id,weight,inner_N,inner_median_relative_error,inner_mean_relative_error,selected
1,0.0,38,0.2371567490092229,0.269633679974176,False
1,0.25,38,0.16822497974349457,0.18684246748860509,False
1,0.5,38,0.08654627805598031,0.1428493563768454,False
1,0.75,38,0.06436203445259361,0.1736894998563478,True
1,1.0,38,0.11766065275437346,0.31317412727844934,False
3,0.0,38,0.2371567490092229,0.269633679974176,False
3,0.25,38,0.16822497974349457,0.18684246748860509,False
3,0.5,38,0.08654627805598031,0.1428493563768454,False
3,0.75,38,0.06436203445259361,0.1736894998563478,True
3,1.0,38,0.11766065275437346,0.31317412727844934,False
4,0.0,38,0.2371567490092229,0.2747551607097948,False
4,0.25,38,0.16822497974349457,0.19452414220086656,False
4,0.5,38,0.08654627805598031,0.1534463158484977,False
4,0.75,38,0.0672330465865643,0.1871379699130062,True
4,1.0,38,0.11766065275437346,0.3139554569143578,False
6,0.0,38,0.2371567490092229,0.2747551607097948,False
6,0.25,38,0.16822497974349457,0.19452414220086656,False
6,0.5,38,0.08654627805598031,0.1534463158484977,False
6,0.75,38,0.0672330465865643,0.1871379699130062,True
6,1.0,38,0.11766065275437346,0.3139554569143578,False
7,0.0,38,0.2551282740272738,0.2961189395829717,False
7,0.25,38,0.1912595491528099,0.20845291623315593,False
7,0.5,38,0.08654627805598031,0.16037416672476015,False
7,0.75,38,0.07007038635405308,0.18779273777634312,True
7,1.0,38,0.12005517227558199,0.3210663698369046,False
8,0.0,38,0.2551282740272738,0.2961189395829717,False
8,0.25,38,0.1912595491528099,0.20845291623315593,False
8,0.5,38,0.08654627805598031,0.16037416672476015,False
8,0.75,38,0.07007038635405308,0.18779273777634312,True
8,1.0,38,0.12005517227558199,0.3210663698369046,False
12,0.0,39,0.23775926733618613,0.27884707824687327,False
12,0.25,39,0.18896730761852895,0.1994041929385626,False
12,0.5,39,0.0883371073979301,0.14166865053895072,False
12,0.75,39,0.06568959946751443,0.1462177692945923,True
12,1.0,39,0.11643796940152241,0.24155066966296887,False
13,0.0,39,0.2433505668803114,0.29342411340999214,False
13,0.25,39,0.17423200045659826,0.2079913285335354,False
