battery_id,structural_life_min,structural_life_median,structural_life_max,structural_relative_span,finite_eol_count
1,410.94859754049656,1069.8112311972188,15562.554233650202,14.16287770614788,15
2,1492.610130838567,2480.493832707956,11099.057148749873,3.87279617116562,15
3,906.5076602819893,2174.0433291387108,15084.56031651859,6.521513378417121,15
4,551.8246067894779,759.287781363815,1312.5099190469552,1.0018405813025888,15
5,815.940980754511,1114.386561471108,8869.042862020473,7.226488688660258,15
6,1282.053317499479,2042.8636300224223,8419.61852181117,3.493901942066172,15
7,493.5324271337144,851.4829734685753,6734.823816861916,7.329907448770075,15
8,524.4299208205441,612.2447017526937,2792.3356724721452,3.704247248133288,15
9,571.7281164842633,660.2923620531158,2542.2955592240105,2.9843862446211804,15
10,1336.5307931076977,5002.902469271308,10340.541784813358,1.7997574502021283,15
11,1804.230259564624,7771.036834633097,17335.827355801637,1.9986518436018101,15
12,2158.64414643435,7245.534668123439,23043.761158439782,2.8824811375051476,15
13,1489.3056965158553,7594.884184844794,9257.201393686564,1.022780006661741,15
14,1289.7741610173841,2699.5687075180363,11806.031649938017,3.8955324454731897,15
15,1175.0314711807703,1802.4768789187137,7319.432227034869,3.4088652274641427,15
16,791.2741344317303,969.1439108083772,1046.1219688977014,0.262961807450659,15
17,2169.637487767468,10734.559124376232,20000.496410827593,1.6610704469985624,15
18,988.8097312218234,1977.5289264766047,9144.349023912782,4.124106193087054,15
19,1624.9734500971415,3325.984638577879,17065.918431148897,4.642518429566162,15
20,1187.2120859875702,5051.17322914464,11477.048005598912,2.037118002653378,15
21,1093.0505857677222,1633.9490173408542,6164.213753654581,3.1036238671264336,15
22,1801.1198896552241,8988.222603806034,15491.449558441538,1.5231409225433723,15
23,1051.2574317701935,1698.9329298574153,6369.112952138107,3.1301150427487565,15
24,774.3629504344254,1750.183460134493,12535.161145460908,6.719751650562806,15
25,1626.4957038411644,8722.840880258373,25507041901.777214,2924166.6362399566,15
26,501.66299084790245,1312.8263909704585,14267.535691241046,10.485676396417679,15
27,3371.1723618446335,5875.540280193715,99796.74972628374,16.411355001596547,15
28,2092.018812785838,5647.7204658629025,20755.705480939512,3.30464065652054,15
29,1221.186215565486,2068.632982216896,9447.79205789421,3.9768320011568714,15
30,1307.1238187939111,1310.842523883439,1678.9596886147413,0.28366173895491814,15
31,517.1751432280594,1158.0042312754626,14719.818335981428,12.26475932398807,15
32,569.6786747820747,1133.31720899159,13754.190394638073,11.633558208815513,15
33,873.0001403484945,1316.0182967467592,10960.438896795049,7.665120448084222,15
34,778.6313406100348,1145.345560875046,8339.201379745782,6.601125719088184,15
35,611.9223597001443,747.0019846788184,969.7589959373983,0.4790303688297558,15
36,1114.4977021651973,1546.5431419544457,11092.939246678461,6.452093882038749,15
37,1188.9719551901312,2467.7081108651146,7751.348450863395,2.659300128236262,15
38,1292.7525113697473,2738.675200784171,6118.386644743118,1.762032289185529,15
39,1635.3324602044822,4015.684990003975,7385.510383202054,1.43192953065571,15
40,1344.8004776225555,2982.217877012054,5774.749304095606,1.4854544534189127,15
41,717.5694846937831,4466.171706457054,2191060387.197555,490590.1101966822,14
42,1565.6953710630949,3002.923990002137,11170.149259144582,3.1983672980262985,15
43,1098.4505468326245,2695.9547692939122,7540.097026547537,2.389374834134187,15
44,1099.1694515733911,1876.5921754567291,7262.483880089696,3.2843121212611175,15
45,555.8746167413407,1423.220453217724,20293.3037285017,13.868146053646498,15
46,813.034621172722,1521.5124349610376,17919.355801189005,11.24297165566993,15
47,827.9598385699037,1416.4531940240483,17409.08311675719,11.706086264016553,15
48,1060.1945603946474,2914.095332891654,16271.249509960719,5.219820634513064,15
49,1105.328434915802,3198.59028962086,19211.026820473035,5.660524401736793,15
