battery_id,n0,fit_end,model,stable_slope,a,b,c,life,success,boundary,b_at_lower_bound,c_near_bound
1,11,150,linear,-1.4595618950272261e-05,1.0057481257890952,-1.3220717030127058e-05,1.0,15562.554233650202,True,False,False,False
1,11,150,power,-1.4595618950272261e-05,1.0052196551302475,1.0000000000000365e-12,4.3279030686175055,410.94859754049656,True,True,True,False
1,11,150,centered_quadratic,-1.4595618950272261e-05,1.0054133119141926,3.020984763339408e-11,1.1285708152530002e-07,1360.117704899289,True,False,False,False
1,21,150,linear,-1.71462966596417e-05,1.0064435887102567,-1.9822629909358416e-05,1.0,10414.540838135363,True,False,False,False
1,21,150,power,-1.71462966596417e-05,1.005504078209892,1.237168603036475e-10,3.381729110837256,532.7600859464519,True,False,False,False
1,21,150,centered_quadratic,-1.71462966596417e-05,1.0056361394911395,3.985233935763098e-19,1.5935811046650302e-07,1156.9589437240777,True,True,True,False
1,31,150,linear,-1.9712979025032244e-05,1.0067065849054668,-2.2239583445032716e-05,1.0,9294.53491862211,True,False,False,False
1,31,150,power,-1.9712979025032244e-05,1.0055405713630436,2.3362113324146055e-10,3.256138143834762,558.3809302554893,True,False,False,False
1,31,150,centered_quadratic,-1.9712979025032244e-05,1.005597011804466,1.1845609556686408e-10,1.9052118124618728e-07,1069.8112311972188,True,False,False,False
1,41,150,linear,-2.175360761394552e-05,1.0069288224963402,-2.4221998065409986e-05,1.0,8543.01209741417,True,False,False,False
1,41,150,power,-2.175360761394552e-05,1.0055177997485436,1.6179870015372663e-10,3.328535535848664,543.3742571363376,True,False,False,False
1,41,150,centered_quadratic,-2.175360761394552e-05,1.0055114252368809,5.3163933877223194e-11,2.251604017475569e-07,996.3707144232661,True,False,False,False
1,51,150,linear,-2.392382968340118e-05,1.0072437935017144,-2.6940489756326436e-05,1.0,7692.651298332367,True,False,False,False
1,51,150,power,-2.392382968340118e-05,1.00555586100229,2.774659192783454e-10,3.222733693698156,565.2426481348027,True,False,False,False
1,51,150,centered_quadratic,-2.392382968340118e-05,1.0054304988255154,2.4430305633417725e-08,2.7197053271914393e-07,920.0586586731182,True,False,False,False
2,11,150,linear,-1.857439333178031e-05,0.9981551482424571,-1.7853331646713432e-05,1.0,11099.057148749873,True,False,False,False
2,11,150,power,-1.857439333178031e-05,0.9977033190522928,4.4507859116134716e-07,1.7216207052597967,1907.146869739492,True,False,False,False
2,11,150,centered_quadratic,-1.857439333178031e-05,0.9976835647674758,5.888252217705456e-06,8.607970812232897e-08,1492.610130838567,True,False,False,False
2,21,150,linear,-1.9203984905602078e-05,0.9982780087208618,-1.9019617637116695e-05,1.0,10424.920863494288,True,False,False,False
2,21,150,power,-1.9203984905602078e-05,0.9977764902034109,7.962651106126165e-07,1.6097886680538676,2246.178428081392,True,False,False,False
2,21,150,centered_quadratic,-1.9203984905602078e-05,0.9976816191728404,9.78629368514197e-06,7.157615466652243e-08,1615.9200107080544,True,False,False,False
2,31,150,linear,-1.995658197445164e-05,0.9983731035176644,-1.9895177782515663e-05,1.0,9970.913840840325,True,False,False,False
2,31,150,power,-1.995658197445164e-05,0.9978241659087536,1.1031400890653845e-06,1.54767701559578,2480.493832707956,True,False,False,False
2,31,150,centered_quadratic,-1.995658197445164e-05,0.9976094470081692,1.242538126193409e-05,6.277139933277013e-08,1709.068279433165,True,False,False,False
2,41,150,linear,-2.0737302520398646e-05,0.9984905308088904,-2.0940827233098786e-05,1.0,9478.638479723424,True,False,False,False
2,41,150,power,-2.0737302520398646e-05,0.9980134079251689,2.996628907380065e-06,1.3606784898969762,3486.5484239660545,True,False,False,False
2,41,150,centered_quadratic,-2.0737302520398646e-05,0.9975519375266823,1.6495306919110543e-05,4.078459003659482e-08,2048.9072787770924,True,False,False,False
2,51,150,linear,-2.1276271880163332e-05,0.9985552265225082,-2.150187473441685e-05,1.0,9234.321610324138,True,False,False,False
2,51,150,power,-2.1276271880163332e-05,0.9981196993497649,4.702762558576323e-06,1.2776798081885232,4163.991331570443,True,False,False,False
2,51,150,centered_quadratic,-2.1276271880163332e-05,0.9974090509056509,1.8466364199505375e-05,3.06617225753071e-08,2305.054207737979,True,False,False,False
3,11,150,linear,-1.458600669699057e-05,0.9984498792393814,-1.3155827884626222e-05,1.0,15084.56031651859,True,False,False,False
3,11,150,power,-1.458600669699057e-05,0.9979804760833144,4.94700309626991e-09,2.570620646634825,906.5076602819893,True,False,False,False
3,11,150,centered_quadratic,-1.458600669699057e-05,0.9980235458487747,3.092835479503677e-20,9.788980492087437e-08,1433.2950051992366,True,True,True,False
3,21,150,linear,-1.6207833136726813e-05,0.998641709153094,-1.4973658371126863e-05,1.0,13266.077282498127,True,False,False,False
3,21,150,power,-1.6207833136726813e-05,0.9980630417397158,1.78535549715094e-08,2.320292515168717,1087.1489295110962,True,False,False,False
3,21,150,centered_quadratic,-1.6207833136726813e-05,0.9980127026399405,1.8767926569635688e-10,1.1694876039600672e-07,1322.2131586481353,True,False,False,False
3,31,150,linear,-1.7623486871805225e-05,0.9988375675402423,-1.67752601497439e-05,1.0,11853.024380267381,True,False,False,False
3,31,150,power,-1.7623486871805225e-05,0.998184268316566,8.163201686333652e-08,2.025704150780777,1419.3626857519178,True,False,False,False
3,31,150,centered_quadratic,-1.7623486871805225e-05,0.9980738980318811,4.386966401255755e-06,1.0410330881101259e-07,1389.4625092510232,True,False,False,False
3,41,150,linear,-1.8774786375826598e-05,0.9990397171546913,-1.8576510854919778e-05,1.0,10714.591061215237,True,False,False,False
3,41,150,power,-1.8774786375826598e-05,0.9984307705296253,6.7650603746248e-07,1.6223692089504838,2344.072805542848,True,False,False,False
3,41,150,centered_quadratic,-1.8774786375826598e-05,0.9981539066051149,1.1677977270187197e-05,6.328929894251987e-08,1720.5862195372317,True,False,False,False
3,51,150,linear,-1.9850067816011448e-05,0.9991611061733009,-1.9629010630086066e-05,1.0,10146.263096319266,True,False,False,False
3,51,150,power,-1.9850067816011448e-05,0.9986659900095127,2.591235120566921e-06,1.3719555219045176,3633.5544893460656,True,False,False,False
3,51,150,centered_quadratic,-1.9850067816011448e-05,0.9981011631915415,1.6025126571295572e-05,3.6402869281197005e-08,2174.0433291387108,True,False,False,False
4,11,150,linear,-0.00015338561191771682,1.0011640735422584,-0.00015326670726292752,1.0,1312.5099190469552,True,False,False,False
4,11,150,power,-0.00015338561191771682,0.9992388383931646,4.004052164511913e-05,1.2575501084399885,870.4485695756897,True,False,False,False
4,11,150,centered_quadratic,-0.00015338561191771682,0.9985648154487594,0.00011355695449741151,2.856816745720748e-07,669.3154769736967,True,False,False,False
4,21,150,linear,-0.00015501419101650112,1.0012781609560493,-0.00015434863238492725,1.0,1304.048878477169,True,False,False,False
4,21,150,power,-0.00015501419101650112,0.9983210825933291,2.1413403018494814e-05,1.3756963349677336,764.5401144437535,True,False,False,False
4,21,150,centered_quadratic,-0.00015501419101650112,0.9970320834786086,0.00010725068563381148,3.651003624118288e-07,623.2803611051114,True,False,False,False
4,31,150,linear,-0.00015857364435528862,1.0017080546467296,-0.00015829111804183953,1.0,1274.2853619456657,True,False,False,False
4,31,150,power,-0.00015857364435528862,0.998277675465729,2.0681892441516687e-05,1.3823339401408685,759.287781363815,True,False,False,False
4,31,150,centered_quadratic,-0.00015857364435528862,0.995971206051591,0.00011609668062612345,3.5457510433386636e-07,628.5331792948361,True,False,False,False
4,41,150,linear,-0.00016156030377727858,1.001989954587072,-0.00016082694543923686,1.0,1255.9459737011996,True,False,False,False
4,41,150,power,-0.00016156030377727858,0.9976818046731019,1.4106607577613606e-05,1.4536302566793613,712.104767632094,True,False,False,False
4,41,150,centered_quadratic,-0.00016156030377727858,0.9946206690405097,0.0001177502352417515,3.951991761237688e-07,609.4194959379897,True,False,False,False
4,51,150,linear,-0.0001645311539534272,1.0021734205150987,-0.00016239757172616275,1.0,1244.9288395519027,True,False,False,False
4,51,150,power,-0.0001645311539534272,0.9960726837221235,4.183465011316631e-06,1.682046785501448,598.2781077411083,True,False,False,False
4,51,150,centered_quadratic,-0.0001645311539534272,0.9929939422437065,0.00010746683009191661,5.548559761039504e-07,551.8246067894779,True,False,False,False
5,11,150,linear,-2.2931812981049744e-05,1.0001598481058607,-2.2568370817441492e-05,1.0,8869.042862020473,True,False,False,False
5,11,150,power,-2.2931812981049744e-05,0.9993744886066801,1.8460881678840997e-08,2.410346864755243,827.9619341848141,True,False,False,False
5,11,150,centered_quadratic,-2.2931812981049744e-05,0.9994071868738876,3.2700274635472863e-15,1.6463102322337632e-07,1111.5621296319757,True,True,True,False
5,21,150,linear,-2.5286771573885287e-05,1.0004433822056122,-2.5254024239901193e-05,1.0,7937.086790663366,True,False,False,False
5,21,150,power,-2.5286771573885287e-05,0.9995091358536866,6.553841829541912e-08,2.162472913352251,995.8008783406639,True,False,False,False
5,21,150,centered_quadratic,-2.5286771573885287e-05,0.9994522413269257,3.653725662626102e-06,1.6744417501764436e-07,1101.5454803412485,True,False,False,False
5,31,150,linear,-2.717764503790374e-05,1.0006416664472304,-2.7071257266107698e-05,1.0,7411.612415150994,True,False,False,False
5,31,150,power,-2.717764503790374e-05,0.999540595099411,8.313851325782956e-08,2.116373845091521,1034.423737027887,True,False,False,False
5,31,150,centered_quadratic,-2.717764503790374e-05,0.9994214538543673,7.69819196367534e-06,1.6279886808777553e-07,1114.386561471108,True,False,False,False
5,41,150,linear,-2.9300451756211765e-05,1.0008608860595438,-2.9032362062847964e-05,1.0,6918.516847672576,True,False,False,False
5,41,150,power,-2.9300451756211765e-05,0.9996387169952693,1.6914355495317832e-07,1.97878855454803,1170.9510192673595,True,False,False,False
5,41,150,centered_quadratic,-2.9300451756211765e-05,0.9993950936411298,1.3728719071845717e-05,1.404003944128954e-07,1184.8279947338337,True,False,False,False
5,51,150,linear,-3.0221236917102094e-05,1.0009079723564884,-2.944078692487116e-05,1.0,6824.137305472775,True,False,False,False
5,51,150,power,-3.0221236917102094e-05,0.9993119855624082,1.511834702034708e-08,2.4453515080526045,815.940980754511,True,False,False,False
5,51,150,centered_quadratic,-3.0221236917102094e-05,0.9990819958036157,9.573659187759177e-06,2.006780579510533e-07,1023.4476963146654,True,False,False,False
6,11,150,linear,-2.447966659188466e-05,1.0001198954815622,-2.3768285340143152e-05,1.0,8419.61852181117,True,False,False,False
6,11,150,power,-2.447966659188466e-05,0.9995080151788055,5.304940077298151e-07,1.7437027452490108,1575.3598043811753,True,False,False,False
6,11,150,centered_quadratic,-2.447966659188466e-05,0.9994823506358664,7.416385037764145e-06,1.1763957052073537e-07,1282.053317499479,True,False,False,False
6,21,150,linear,-2.579897761134653e-05,1.0003153388095303,-2.5620067666441723e-05,1.0,7818.688905022369,True,False,False,False
6,21,150,power,-2.579897761134653e-05,0.9996764556543637,1.4077863440224465e-06,1.5563195059334127,2042.8636300224223,True,False,False,False
6,21,150,centered_quadratic,-2.579897761134653e-05,0.9995361057690685,1.431327300396655e-05,8.764957102698819e-08,1450.3716126172392,True,False,False,False
6,31,150,linear,-2.681685498694855e-05,1.0004346937462427,-2.6720112740688077e-05,1.0,7501.266768273419,True,False,False,False
6,31,150,power,-2.681685498694855e-05,0.9997508619067708,2.0263061398651937e-06,1.4870151078784788,2281.7085248848225,True,False,False,False
6,31,150,centered_quadratic,-2.681685498694855e-05,0.999431122342208,1.7809202109760458e-05,7.488160194072233e-08,1548.3687580287472,True,False,False,False
6,41,150,linear,-2.7575493622576492e-05,1.000535009056273,-2.7618261046816645e-05,1.0,7260.957115161571,True,False,False,False
6,41,150,power,-2.7575493622576492e-05,0.9998257740154662,2.7926401083409807e-06,1.4265459812359207,2529.7085636966103,True,False,False,False
6,41,150,centered_quadratic,-2.7575493622576492e-05,0.9992764796110566,2.06082198080422e-05,6.431230494297341e-08,1648.333537086306,True,False,False,False
6,51,150,linear,-2.7806223052164667e-05,1.0005602330385273,-2.7838548588501713e-05,1.0,7204.406953937446,True,False,False,False
6,51,150,power,-2.7806223052164667e-05,0.9995546009697015,9.014128470091761e-07,1.6382237864724278,1831.3200438555248,True,False,False,False
6,51,150,centered_quadratic,-2.7806223052164667e-05,0.9989972003092324,1.9067114836528984e-05,8.8600340929438e-08,1445.9252471809855,True,False,False,False
7,11,150,linear,-3.3508750827199966e-05,1.0004184236079128,-2.975852510144764e-05,1.0,6734.823816861916,True,False,False,False
7,11,150,power,-3.3508750827199966e-05,0.9992460045728012,6.502076328777968e-10,3.150888542442233,493.5324271337144,True,False,False,False
7,11,150,centered_quadratic,-3.3508750827199966e-05,0.9994926874210889,1.635810372058878e-24,2.2740389631668384e-07,947.6223991620782,True,True,True,False
7,21,150,linear,-3.720910978756431e-05,1.0010255529601277,-3.5518669455019565e-05,1.0,5659.715187662199,True,False,False,False
7,21,150,power,-3.720910978756431e-05,0.9995043815862138,5.878174637312807e-09,2.717905781949252,589.8976662512938,True,False,False,False
7,21,150,centered_quadratic,-3.720910978756431e-05,0.9995497018098827,1.4607407082668868e-12,2.80325939470437e-07,864.7113608863185,True,False,False,False
