battery_id,n0,model,cycle,observed,predicted
1,11,linear,151,1.0035040341011485,1.003751797517546
1,11,linear,152,1.003371233684344,1.0037385768005158
1,11,linear,153,1.003249998700051,1.0037253560834858
1,11,linear,154,1.0031403291482688,1.0037121353664558
1,11,linear,155,1.0030422250289976,1.0036989146494255
1,11,linear,156,1.0029556863422409,1.0036856939323955
1,11,linear,157,1.0029072943153923,1.0036724732153652
1,11,linear,158,1.0029532296974646,1.0036592524983352
1,11,linear,159,1.002855579373866,1.003646031781305
1,11,linear,160,1.002860543825376,1.003632811064275
1,11,linear,161,1.0025763543941397,1.0036195903472447
1,11,linear,162,1.0014383798854618,1.0036063696302147
1,11,linear,163,1.0004746427551507,1.0035931489131844
1,11,linear,164,0.999940860696534,1.0035799281961544
1,11,linear,165,0.9996885162089997,1.0035667074791244
1,11,linear,166,0.9999216817116944,1.003553486762094
1,11,linear,167,1.0005932631675036,1.003540266045064
1,11,linear,168,1.0013679303061351,1.0035270453280338
1,11,linear,169,1.0020708838385373,1.0035138246110038
1,11,linear,170,1.0030309268578446,1.0035006038939736
1,11,linear,171,1.0023714359521643,1.0034873831769435
1,11,linear,172,1.0006014508223022,1.0034741624599133
1,11,linear,173,0.9996034070961728,1.0034609417428833
1,11,linear,174,0.9986270177227583,1.0034477210258532
1,11,linear,175,0.9980836122088909,1.003434500308823
1,11,linear,176,0.9978717048258827,1.003421279591793
1,11,linear,177,0.9980881334019138,1.0034080588747627
1,11,linear,178,0.9987131474621992,1.0033948381577327
1,11,linear,179,0.9998235511188321,1.0033816174407024
1,11,linear,180,1.0011065231854825,1.0033683967236724
1,11,linear,181,1.0013771727680894,1.0033551760066421
1,11,linear,182,1.0016764928582509,1.0033419552896121
1,11,linear,183,1.0023240922011576,1.0033287345725819
1,11,linear,184,1.0025496689705158,1.0033155138555518
1,11,linear,185,1.0027810566496334,1.0033022931385218
1,11,linear,186,1.0024387748845074,1.0032890724214916
1,11,linear,187,1.0019669105501887,1.0032758517044615
1,11,linear,188,1.001749130863073,1.0032626309874313
1,11,linear,189,1.0018799043084554,1.0032494102704013
1,11,linear,190,1.001666978040517,1.003236189553371
1,11,linear,191,1.0018924152574733,1.003222968836341
1,11,linear,192,1.0013201509165075,1.0032097481193107
1,11,linear,193,1.0003872481179652,1.0031965274022807
1,11,linear,194,0.999941113240662,1.0031833066852507
1,11,linear,195,0.9986368612832792,1.0031700859682204
1,11,linear,196,0.9980639123735556,1.0031568652511904
1,11,linear,197,0.9975588394878703,1.0031436445341602
1,11,linear,198,0.9971216426262207,1.0031304238171301
1,11,linear,199,0.9967523217886071,1.0031172031000999
1,11,linear,200,0.9964508769750292,1.0031039823830699
1,11,power,151,1.0035040341011485,1.0025256338827757
1,11,power,152,1.003371233684344,1.0024475636409171
1,11,power,153,1.003249998700051,1.0023677652809568
1,11,power,154,1.0031403291482688,1.0022862122210678
1,11,power,155,1.0030422250289976,1.0022028776477123
1,11,power,156,1.0029556863422409,1.002117734515147
1,11,power,157,1.0029072943153923,1.0020307555449284
1,11,power,158,1.0029532296974646,1.0019419132254233
1,11,power,159,1.002855579373866,1.0018511798113177
1,11,power,160,1.002860543825376,1.001758527323132
1,11,power,161,1.0025763543941397,1.001663927546734
1,11,power,162,1.0014383798854618,1.0015673520328574
1,11,power,163,1.0004746427551507,1.00146877209662
